wardname,lganame,statename
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Gbethrome,Badagry,Lagos
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Gbethrome,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Kweme,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Kweme,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Gbethrome,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Wesere,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Wesere,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Ajara Topa,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Akoro,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Jegba Quarters,Badagry,Lagos
Ajara Topa,Badagry,Lagos
Ahovikoh,Badagry,Lagos
Posukoh,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Awhanjigoh,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Ajara Vetho,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Ikoga,Badagry,Lagos
Ikoga,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Ajido,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Aradagun-Mowo,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Topo-Idale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Aradagun-Mowo,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Isalu/Iyafin,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Ibereko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Iworo-Gbanko,Badagry,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Iworo-Gbanko,Badagry,Lagos
Araromi-Ale,Badagry,Lagos
Etegbin,Ojo,Lagos
Etegbin,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Taffi,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Irewe,Ojo,Lagos
Taffi,Ojo,Lagos
Irewe,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Etegbin,Ojo,Lagos
Ilogbo- Elegba,Ojo,Lagos
Egan,Ojo,Lagos
Egan,Ojo,Lagos
Oto-Awori,Ojo,Lagos
Ijanikin,Ojo,Lagos
Ilogbo- Elegba,Ojo,Lagos
Irewe,Ojo,Lagos
Sabo-Oniba,Ojo,Lagos
Ajangbadi,Ojo,Lagos
Kemberi,Ojo,Lagos
Okokomaiko,Ojo,Lagos
Igbo-Elerin,Ojo,Lagos
Taffi,Ojo,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
I Irede,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ojo Town,Ojo,Lagos
I Irede,Amuwo Odofin,Lagos
Abule Osun Onireke,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ado Soba,Amuwo Odofin,Lagos
Agboju And Environ,Amuwo Odofin,Lagos
Kirikiri And Environ,Amuwo Odofin,Lagos
Kirikiri And Environ,Amuwo Odofin,Lagos
Odofin,Amuwo Odofin,Lagos
Orire,Amuwo Odofin,Lagos
Eko Akete,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ibeshe And Environ,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Ilado Tomaro,Amuwo Odofin,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Kirikiri And Environ,Amuwo Odofin,Lagos
Ibafon,Ajeromi/Ifelodun,Lagos
Owoyemi,Ajeromi/Ifelodun,Lagos
Oluwa/Akere,Ajeromi/Ifelodun,Lagos
Alakoto/Ibafon,Ajeromi/Ifelodun,Lagos
Awodi-Ora,Ajeromi/Ifelodun,Lagos
Alaba,Ajeromi/Ifelodun,Lagos
Apasa Amukoko,Ajeromi/Ifelodun,Lagos
Layeni-Okoya,Ajeromi/Ifelodun,Lagos
Coker,Surulere,Lagos
Airways,Surulere,Lagos
Odo-Olowu,Surulere,Lagos
Ojora Amukoko,Ajeromi/Ifelodun,Lagos
Bale,Surulere,Lagos
Osho,Surulere,Lagos
Irone,Surulere,Lagos
Agunbiade,Surulere,Lagos
Jinadu Aiyetoro,Surulere,Lagos
Tolu,Ajeromi/Ifelodun,Lagos
Oduduwa,Apapa,Lagos
Aiyetoro,Ajeromi/Ifelodun,Lagos
Amukoko,Ajeromi/Ifelodun,Lagos
Oke Oja,Ajeromi/Ifelodun,Lagos
Bale Alayabiagba,Ajeromi/Ifelodun,Lagos
Apapa,Apapa,Lagos
Anjorin,Apapa,Lagos
Marine Beach,Apapa,Lagos
Abete,Apapa,Lagos
Oke Oja,Ajeromi/Ifelodun,Lagos
Alafia,Apapa,Lagos
Sari,Apapa,Lagos
Gaskiya,Apapa,Lagos
Badia,Apapa,Lagos
Owoseni,Apapa,Lagos
Iponri / Eric Moore,Surulere,Lagos
Savage,Surulere,Lagos
Adeniran Ogunsanya,Surulere,Lagos
Ijora,Apapa,Lagos
Botanical Garden,Lagos Mainland,Lagos
Aralile,Surulere,Lagos
Aloba/Desalu,Lagos Mainland,Lagos
Iponri/Olaleye,Lagos Mainland,Lagos
Tarkwa Bay,Eti Osa,Lagos
Tarkwa Bay,Eti Osa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Abraham Adesanya,Apapa,Lagos
Tarkwa Bay,Eti Osa,Lagos
Victoria Island,Eti Osa,Lagos
Kuramo School/Lekki,Eti Osa,Lagos
1004/Aboyade,Eti Osa,Lagos
Abraham Adesanya,Apapa,Lagos
Olosun/Ojo Oto,Lagos Island,Lagos
Oke-Olowogbowo,Lagos Island,Lagos
Oluwole,Lagos Island,Lagos
Alagba/Obadina,Lagos Island,Lagos
Oke-Arin/Idumota,Lagos Island,Lagos
Oko-Awo/Agarawu,Lagos Island,Lagos
Oke-Arin/Idumota,Lagos Island,Lagos
Idumoyingbo,Lagos Island,Lagos
Ajele,Lagos Island,Lagos
Odam,Lagos Island,Lagos
Araromi Odo,Lagos Island,Lagos
Odam,Lagos Island,Lagos
Okepopo West,Lagos Island,Lagos
Isale Gangan,Lagos Island,Lagos
Ilupesi/Ebute Awo,Lagos Island,Lagos
Anikantamo,Lagos Island,Lagos
Okepopo West,Lagos Island,Lagos
Okepopo East,Lagos Island,Lagos
Okepopo East,Lagos Island,Lagos
Idunganran/Idumagbo,Lagos Island,Lagos
Epetedo West,Lagos Island,Lagos
Epetedo East,Lagos Island,Lagos
Lafiaji,Lagos Island,Lagos
Otto,Lagos Mainland,Lagos
Oyingbo,Lagos Mainland,Lagos
Ojo-Oniyun,Lagos Mainland,Lagos
Alagomeji,Lagos Mainland,Lagos
Freeman/Glover,Lagos Mainland,Lagos
Okobaba,Lagos Mainland,Lagos
Adekunle/Aiyetoro,Lagos Mainland,Lagos
Makoko,Lagos Mainland,Lagos
Lafiaji,Lagos Island,Lagos
Obalende,Eti Osa,Lagos
Ijeh/Dolphin Estate,Eti Osa,Lagos
Ijeh/Dolphin Estate,Eti Osa,Lagos
Ikoyi 2,Eti Osa,Lagos
Apese/6 Extension,Eti Osa,Lagos
Ilasan/Orile,Eti Osa,Lagos
Falomo/Oyinkan Abayomi,Eti Osa,Lagos
Ikoyi 1,Eti Osa,Lagos
Ikate/Lekki,Eti Osa,Lagos
Ijanikin,Ojo,Lagos
Iba,Ojo,Lagos
Iba,Ojo,Lagos
Ijegun,Alimosho,Lagos
Akesan-Obadore,Alimosho,Lagos
Abaranje/Okerube,Alimosho,Lagos
Igando,Alimosho,Lagos
Bada-Megida,Alimosho,Lagos
Ayobo,Alimosho,Lagos
Isheri Oshun,Alimosho,Lagos
Egbe-Agodo,Alimosho,Lagos
Egbe-Liasu,Alimosho,Lagos
Apena,Oshodi/Isolo,Lagos
Okota,Oshodi/Isolo,Lagos
Ailegun,Oshodi/Isolo,Lagos
Ifoshin,Oshodi/Isolo,Lagos
Fadu,Oshodi/Isolo,Lagos
Ilamoshe,Oshodi/Isolo,Lagos
Aigbaka,Oshodi/Isolo,Lagos
Baruwa,Alimosho,Lagos
Isheri-Olofin,Alimosho,Lagos
Idimu,Alimosho,Lagos
Atan Lagos,Alimosho,Lagos
Ipaja,Alimosho,Lagos
Abesan 1,Alimosho,Lagos
Abesan 2,Alimosho,Lagos
Unity Estate,Alimosho,Lagos
Oguntade/Bameke,Alimosho,Lagos
Okunola,Alimosho,Lagos
Gowon Estate,Alimosho,Lagos
Mosan/Akinoggun,Alimosho,Lagos
Akowonjo/Ilupeju,Alimosho,Lagos
Santos/Ilupeju,Alimosho,Lagos
Omituntun-Olori,Alimosho,Lagos
Alaguntan,Alimosho,Lagos
Oyewole/Alaagba,Agege,Lagos
Papa Ashafa,Agege,Lagos
Papa Ashafa,Agege,Lagos
Odo Eran/Ogunlana,Mushin,Lagos
Ilasamaja,Oshodi/Isolo,Lagos
Ishaga/Ire-Akari,Oshodi/Isolo,Lagos
Ishaga/Ire-Akari,Oshodi/Isolo,Lagos
Sanusi 1,Surulere,Lagos
Oduselu/Ola,Mushin,Lagos
Ogunsami/Karounwi,Surulere,Lagos
Nuru Oniwo,Surulere,Lagos
Onitire,Mushin,Lagos
Ilasamaja,Oshodi/Isolo,Lagos
Igbehin,Mushin,Lagos
Alafia/Adeoyo,Mushin,Lagos
Akingbaye,Oshodi/Isolo,Lagos
Ajao Estate,Oshodi/Isolo,Lagos
Alagbeji,Oshodi/Isolo,Lagos
Mafoluku,Oshodi/Isolo,Lagos
Ramoni,Surulere,Lagos
Shitta Bank Olemoh,Surulere,Lagos
Babatunde Ayilara,Surulere,Lagos
Obele Oniwala,Surulere,Lagos
Moshalashi/Agoro,Mushin,Lagos
Idi-Araba,Mushin,Lagos
Babalosa 2,Mushin,Lagos
Babalosa 1,Mushin,Lagos
Gbaja Obele-Odan,Surulere,Lagos
Akinhanmi Cole,Surulere,Lagos
Mosafejo Ojuelegba,Surulere,Lagos
Harvey,Lagos Mainland,Lagos
Alakara,Mushin,Lagos
Idi-Oro/Odi Olowo,Mushin,Lagos
Alakara,Mushin,Lagos
Igbobi/Fadeyi,Shomolu,Lagos
Mushin/Atewolara,Mushin,Lagos
Papa Ajao,Mushin,Lagos
Mushin/Atewolara,Mushin,Lagos
Ojuwoye,Mushin,Lagos
Afariogun,Oshodi/Isolo,Lagos
Igbehinadun,Oshodi/Isolo,Lagos
Ilupeju Industrial,Mushin,Lagos
Olateju,Mushin,Lagos
Kayode/Fadeyi,Mushin,Lagos
Owodunni,Mushin,Lagos
Ilupeju,Mushin,Lagos
Onipanu,Shomolu,Lagos
Ijebu Tedo,Shomolu,Lagos
Pedro/Gbagada,Shomolu,Lagos
Ilupeju Industrial,Mushin,Lagos
Pedro/Gbagada,Shomolu,Lagos
Anthony,Kosofe,Lagos
Oluyeye,Oshodi/Isolo,Lagos
Ewutuntun,Oshodi/Isolo,Lagos
Ogunnoloko,Oshodi/Isolo,Lagos
Onilekere,Ikeja,Lagos
Shogunle,Oshodi/Isolo,Lagos
Onilekere,Ikeja,Lagos
Dopemu,Agege,Lagos
Awori Oniwaya,Agege,Lagos
Awori Oniwaya,Agege,Lagos
Isale Oja,Agege,Lagos
Papa Uku/ Olusanya,Agege,Lagos
Anifowoshe,Ikeja,Lagos
Seriki-Aro,Ikeja,Lagos
Keke,Agege,Lagos
Onigbongbo,Ikeja,Lagos
G R A,Ikeja,Lagos
Mende,Kosofe,Lagos
Orile Ikeja,Ikeja,Lagos
Alade,Ikeja,Lagos
Ogba/Oluwole,Ikeja,Lagos
Alausa,Ikeja,Lagos
Oregun,Ikeja,Lagos
Shangisha/Magodo,Kosofe,Lagos
Ajasa/Amikanle,Alimosho,Lagos
Aboru,Alimosho,Lagos
Agbelekale,Alimosho,Lagos
Alagbado/Alakuko,Alimosho,Lagos
Ijaiye Ojokoro,Ifako/Ijaye,Lagos
Alagbado/Kollinton,Ifako/Ijaye,Lagos
Oke-Odo,Alimosho,Lagos
Abule Egba,Alimosho,Lagos
Isale Odo/Ayige,Agege,Lagos
Orile,Agege,Lagos
Ijaiye Gbirinmi,Ifako/Ijaye,Lagos
Ijaiye Ojokoro,Ifako/Ijaye,Lagos
Abule Egba/Ilupeju,Ifako/Ijaye,Lagos
Alakuko Ajegunle,Ifako/Ijaye,Lagos
Okekoto,Agege,Lagos
Okekoto,Agege,Lagos
Powerline/Oko-Oba,Agege,Lagos
Atobaje,Agege,Lagos
Agbado Dalemo,Ifako/Ijaye,Lagos
Keke,Agege,Lagos
Ijaiye/Ifako,Ifako/Ijaye,Lagos
Powerline/Oko-Oba,Agege,Lagos
Orile,Agege,Lagos
Agbado Dalemo,Ifako/Ijaye,Lagos
Ifako Pele,Ifako/Ijaye,Lagos
Ijaiye/Ifako,Ifako/Ijaye,Lagos
Ijaiye/Ifako,Ifako/Ijaye,Lagos
Ifako/Coker,Ifako/Ijaye,Lagos
Ifako Pele,Ifako/Ijaye,Lagos
Ijaiye Oke-Ira,Ifako/Ijaye,Lagos
Agbado Dalemo,Ifako/Ijaye,Lagos
Tabon Tabon/Egbir,Ifako/Ijaye,Lagos
Iju Ishaga,Ifako/Ijaye,Lagos
Iju Obawole,Ifako/Ijaye,Lagos
Iju Ogundimu,Ifako/Ijaye,Lagos
Aguda,Ikeja,Lagos
Akiode,Ikeja,Lagos
Oke-Ira Central,Ikeja,Lagos
Oke-Ira Powerline,Ikeja,Lagos
Akiode,Ikeja,Lagos
Ojodu,Ikeja,Lagos
Onike/Oyadiran,Lagos Mainland,Lagos
Aderupoko/Ijebu Qters,Lagos Mainland,Lagos
Salami/ Baiyewunmi,Lagos Mainland,Lagos
Abule Ijesha,Lagos Mainland,Lagos
Bashua East And West,Shomolu,Lagos
Bajulaiye,Shomolu,Lagos
Igbari,Shomolu,Lagos
Abule Oja,Lagos Mainland,Lagos
Akoka/Anu-Oluwapo,Shomolu,Lagos
Orile Somolu/Alade,Shomolu,Lagos
Okesuna/Alase,Shomolu,Lagos
Ibuowo/Owotutu,Shomolu,Lagos
Owode /Orile Bariga,Shomolu,Lagos
Aiyetoro/Mafowoku,Shomolu,Lagos
Apelehin,Shomolu,Lagos
Araromi/Ifako,Kosofe,Lagos
Araromi/Ifako,Kosofe,Lagos
Ilaje,Shomolu,Lagos
Apelehin,Shomolu,Lagos
Seriki-Okuta,Shomolu,Lagos
Orile Oworo,Kosofe,Lagos
Olubori/Mosafejo,Kosofe,Lagos
Mende,Kosofe,Lagos
Araromi/Ifako,Kosofe,Lagos
Ojota,Kosofe,Lagos
Olusosun,Ikeja,Lagos
Bamgbe/Elebiju,Kosofe,Lagos
Ogudu,Kosofe,Lagos
Arowosegbe/Alapere,Kosofe,Lagos
Arowosegbe/Alapere,Kosofe,Lagos
Agidi/Orishigun,Kosofe,Lagos
Ikosi-Oke,Kosofe,Lagos
Agiliti/Maidan,Kosofe,Lagos
Erukan/Orishigun,Kosofe,Lagos
Orile-Ikosi,Kosofe,Lagos
Erukan/Orishigun,Kosofe,Lagos
Orile-Ketu,Kosofe,Lagos
Idera,Kosofe,Lagos
Idera,Kosofe,Lagos
Shangisha/Magodo,Kosofe,Lagos
Agboyi 1,Kosofe,Lagos
Agboyi 2,Kosofe,Lagos
Odo-Ogun/Ajegunle,Kosofe,Lagos
Idera,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Odo-Ogun/Ajegunle,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Ibeshe,Ikorodu,Lagos
Ikosi Isheri,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Abosan,Ikorodu,Lagos
Ipakodo,Ikorodu,Lagos
Majidun,Ikorodu,Lagos
Ipakodo,Ikorodu,Lagos
Aige/Solomade,Ikorodu,Lagos
Isheri/Olowora,Kosofe,Lagos
Ikosi Isheri,Kosofe,Lagos
Isawo,Ikorodu,Lagos
Ajaguro,Ikorodu,Lagos
Ajaguro,Ikorodu,Lagos
Odogunyan,Ikorodu,Lagos
Maroko/Okun Alfa,Eti Osa,Lagos
Igbo-Efon/Maiyegun,Eti Osa,Lagos
Ajiran/Osapa,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Ajah,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Okun Ajah/Okunmopo,Eti Osa,Lagos
Addo/Okeira,Eti Osa,Lagos
Sangotedo,Eti Osa,Lagos
Sangotedo,Eti Osa,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Sangotedo,Eti Osa,Lagos
Sangotedo,Eti Osa,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Sangotedo,Eti Osa,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Iwerekun 1,Ibeju Lekki,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Iwerekun 2,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Iwerekun 2,Ibeju Lekki,Lagos
Iwerekun 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 3,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Ibeju 2,Ibeju Lekki,Lagos
Orimedu 1,Ibeju Lekki,Lagos
Orimedu 1,Ibeju Lekki,Lagos
Orimedu 2,Ibeju Lekki,Lagos
Orimedu 1,Ibeju Lekki,Lagos
Ibeju 1,Ibeju Lekki,Lagos
Ibeju 1,Ibeju Lekki,Lagos
Ibeju 1,Ibeju Lekki,Lagos
Ibeju 1,Ibeju Lekki,Lagos
Orimedu 1,Ibeju Lekki,Lagos
Ibeju 1,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 1,Ibeju Lekki,Lagos
Lekki 1,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Lekki 2,Ibeju Lekki,Lagos
Baiyeku/Orita/Offin,Ikorodu,Lagos
Itumokun,Ikorodu,Lagos
Itumokun,Ikorodu,Lagos
Abosan,Ikorodu,Lagos
Abosan,Ikorodu,Lagos
Aga/Ijomu,Ikorodu,Lagos
Isele,Ikorodu,Lagos
Sholafun/Agbele,Ikorodu,Lagos
Itunpate/Itumaja,Ikorodu,Lagos
Abosan,Ikorodu,Lagos
Sholafun/Agbele,Ikorodu,Lagos
Sholafun/Agbele,Ikorodu,Lagos
Sholafun/Agbele,Ikorodu,Lagos
Badore/Langbasa,Eti Osa,Lagos
Elepe,Ikorodu,Lagos
Oke-Oyinbo/ Aiyetoro,Ikorodu,Lagos
Oke-Eletu/Abule-Eko,Ikorodu,Lagos
Ayegbami/Odoro,Ikorodu,Lagos
Ayegbami/Odoro,Ikorodu,Lagos
Oke-Eletu/Abule-Eko,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Olori/Eyita,Ikorodu,Lagos
Ajaguro,Ikorodu,Lagos
Itunpate/Itumaja,Ikorodu,Lagos
Odogunyan,Ikorodu,Lagos
Agbala/ Lasunwon,Ikorodu,Lagos
Itunpate/Itumaja,Ikorodu,Lagos
Agbala/ Lasunwon,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Erikorodo,Ikorodu,Lagos
Agbala/ Lasunwon,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Agura/Gberigbe,Ikorodu,Lagos
Erikorodo,Ikorodu,Lagos
Isiu,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Isiu,Ikorodu,Lagos
Isiu,Ikorodu,Lagos
Isiu,Ikorodu,Lagos
Isiu,Ikorodu,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Egbin/Itunoliwo,Ikorodu,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Tonabu/Opopo,Ikorodu,Lagos
Tonabu/Opopo,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Maja,Ikorodu,Lagos
Maja,Ikorodu,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Mayunre-Oriba/Orepete-Ito Omu,Epe,Lagos
Ajebo Orugbo,Epe,Lagos
Isiu,Ikorodu,Lagos
Igbokuta/Oke-Agbo/Igbalu,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Atere,Ikorodu,Lagos
Maja,Ikorodu,Lagos
Maja,Ikorodu,Lagos
Maja,Ikorodu,Lagos
